episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
102,108,0.466944,0.208929,-31.350000,1.832281,76.322207,50,1,0,1,lost,82.520,29.000,0.000,7,5,10,-14.712500,1.988326,0.150000,,
103,109,0.461667,0.203571,-12.950000,2.019597,93.109780,50,1,0,1,lost,100.000,0.000,21.000,6,0,21,-15.870000,2.067573,0.100000,,
104,110,0.456389,0.198214,-13.900000,1.904758,91.002805,50,1,0,1,lost,100.000,0.000,0.500,5,2,15,-15.875000,2.026634,0.100000,,
105,111,0.451111,0.192857,-11.150000,2.130661,104.112537,50,1,0,1,lost,100.000,1.050,50.000,7,2,19,-15.875000,1.998625,0.100000,,
106,112,0.445833,0.187500,-14.300000,2.227054,102.412865,50,1,0,1,lost,100.000,3.450,44.000,4,1,17,-15.962500,1.975038,0.100000,,
107,113,0.440556,0.182143,-14.150000,2.124508,102.821806,50,1,0,1,lost,100.000,1.500,46.000,6,2,25,-15.235000,1.945229,0.100000,,
108,114,0.435278,0.176786,-14.950000,1.951083,93.718742,50,1,0,1,lost,100.000,0.900,37.000,8,2,13,-14.915000,1.943202,0.100000,,
109,115,0.430000,0.171429,-13.550000,1.876827,90.810815,50,1,0,1,lost,78.260,1.700,46.000,1,0,23,-14.205000,1.923276,0.100000,,
110,116,0.424722,0.166071,-6.550000,1.913564,93.018072,50,1,0,1,lost,100.000,0.450,10.000,6,2,13,-13.240000,1.903919,0.100000,,
111,117,0.419444,0.160714,-15.750000,1.906115,90.180410,50,1,0,1,lost,100.000,3.000,0.000,5,3,18,-13.352500,1.883873,0.100000,,
112,118,0.414167,0.155357,-28.450000,1.715160,74.231051,50,1,0,1,lost,100.000,0.000,26.000,6,1,17,-14.112500,1.867792,0.100000,,
113,119,0.408889,0.150000,-24.700000,1.874233,86.285022,50,1,0,1,lost,70.130,0.000,48.000,11,1,25,-14.327500,1.864596,0.100000,,
114,120,0.403611,0.144643,-11.350000,1.461997,68.358484,50,1,0,1,lost,100.000,0.000,26.000,3,0,20,-15.290000,1.914880,0.050000,,
115,121,0.398333,0.139286,-14.900000,1.658559,77.570400,50,1,0,1,lost,100.000,0.000,30.500,4,2,18,-15.355000,1.869066,0.050000,,
116,122,0.393056,0.133929,-7.550000,1.647499,78.390381,50,1,0,1,lost,46.610,0.000,10.000,4,1,16,-14.512500,1.865068,0.050000,,
117,123,0.387778,0.128571,-12.200000,1.709023,81.464912,50,1,0,1,lost,100.000,0.000,44.000,7,0,13,-13.792500,1.857515,0.050000,,
118,124,0.382500,0.123214,-13.800000,1.590215,77.412221,50,1,0,1,lost,100.000,0.396,47.000,6,1,17,-13.697500,1.818211,0.050000,,
119,125,0.377222,0.117857,-20.550000,1.312047,62.864407,50,1,0,1,lost,97.420,16.500,0.000,1,1,17,-14.202500,1.776652,0.050000,,
120,126,0.371944,0.112500,-31.450000,1.298781,53.661513,50,1,0,1,lost,100.000,0.000,11.500,4,2,17,-15.132500,1.749520,0.050000,-14.630000,0.000000
